site,plot,trt,F08biom,F08stems,F08size,F08lseed,F08soseed,F08CL,F08CLX4,F08totsds,S09sects,S09sewt,S09sesz,S09sbank,F09bio,F09stems,F09size,F09lseed,F09soseed,F09CL,F09CLX4,F09totsds,S10sects,S10sewt,S10sesz,S10banksoil,S10bankthatch,F10bio,F10stems,F10size,F10lseed,F10soseed,F10CL,F10CLX4,F10totsds
2,1,S09,,,,,,,,,374,3.016,0.008064171,0,8.09,,,105,44,0,0,149,212,2.18,0.010283019,,,8.98,47,0.19106383,,,,,
2,2,S09,,,,,,,,,280,2.844,0.010157143,0,14.36,43,0.333953488,126,38,49,196,360,274,4.78,0.017445255,,,9.35,31,0.301612903,,,,,
2,3,S09,,,,,,,,,221,3.002,0.01358371,2,7.34,29,0.253103448,98,46,52,208,352,189,2.2,0.011640212,,,14.86,60,0.247666667,,,,,
2,4,S09,,,,,,,,,128,2.342,0.018296875,0,16.98,84,0.202142857,501,213,78,312,1026,182,1.92,0.010549451,,,3.58,87,0.041149425,,,,,
2,5,S09,,,,,,,,,234,1.283,0.005482906,0,15.26,115,0.132695652,184,14,29,116,314,589,3.29,0.005585739,,,5.32,64,0.083125,,,,,
2,6,S09,,,,,,,,,407,3.12,0.007665848,2,12.16,94,0.129361702,178,94,98,392,664,180,1.38,0.007666667,,,12.77,74,0.172567568,,,,,
2,7,S10,,,,,,,,,,,,,,,,,,,,,45,0.49,0.010888889,,,6.34,18,0.352222222,,,,,
2,8,S10,,,,,,,,,,,,,,,,,,,,,41,9.23,0.225121951,,,9.82,20,0.491,,,,,
2,9,S10,,,,,,,,,,,,,,,,,,,,,0,0.2,,,,17.45,27,0.646296296,,,,,
2,10,S10,,,,,,,,,,,,,,,,,,,,,20,0.18,0.009,,,13.57,21,0.646190476,,,,,
2,11,S10,,,,,,,,,,,,,,,,,,,,,18,0.74,0.041111111,,,5.13,15,0.342,,,,,
2,12,S10,,,,,,,,,,,,,,,,,,,,,110,0.35,0.003181818,,,15.9,67,0.237313433,,,,,
2,13,S0910,,,,,,,,,,,,,,,,,,,,,27,0.36,0.013333333,,,10.7,22,0.486363636,,,,,
